mint,session_id,trigger,fraction,price,gain_pct,pnl_sol,remaining_fraction,at_ms,created_at
AJQ48erLGxjwqFAZR1vm9HBU518ArDY9iU6sceaVpump,3,STOP_LOSS,1,3.093316727620971e-7,-24.33156585472458,-0.010274960192508552,0,1789588287245,2026-09-16 19:51:27
9HB7uiNQeWTGG1tkuGaMQLhdt9Lg6vmJ4vtLJc1Wpump,3,TAKE_PROFIT_0,0.5,5.655511673652575e-7,32.78147285971718,0.006820617422713504,0.5,1789588434991,2026-09-16 19:53:54
9HB7uiNQeWTGG1tkuGaMQLhdt9Lg6vmJ4vtLJc1Wpump,3,TRAILING_STOP,0.5,4.620828005745392e-7,8.48891910040721,0.0017662314858156254,0,1789588437315,2026-09-16 19:53:57
EXPquAt51j4i3uD2fvfLSUCtoyZjB4zfmHq8ySgUpump,3,TRAILING_STOP,1,4.2637438632649695e-7,1.316901095288725,0.0005537421000407407,0,1789588842773,2026-09-16 20:00:42
G6wf15wfpt5VSMef4oQ1QxBdGyFt5uMUdkQ5gYn5pump,3,STOP_LOSS,1,3.3462144633100525e-7,-16.048509753695527,-0.00681758354117119,0,1789589503212,2026-09-16 20:11:43
9wALK3JU77FZU4wAiHgwNyrbrcJoSWsn1dFMbDKi6WE7,3,TRAILING_STOP,1,4.471580802539076e-7,6.312580866838791,0.00265739321670941,0,1789590175650,2026-09-16 20:22:55
8PwDJhSez3HhdZzJ9FqUu7BLdpMqdgLiDNn8anYKpump,3,STOP_LOSS,1,2.9030996210362567e-7,-17.677473296545077,-0.007441431333837428,0,1789591059662,2026-09-16 20:37:39
CwZn8XcUKZnSHWPDnk2BYvcG4McETwzzYqgj139Wpump,3,TRAILING_STOP,1,3.9700729819043834e-7,10.823708847034252,0.004408482704931183,0,1789592208345,2026-09-16 20:56:48
9wv2atm9TEpNRQJrKACb7ZT3wppzejbW4YRUPnMtpump,4,TRAILING_STOP,1,3.785523964840152e-7,3.4888414611967677,0.001430155140692493,0,1789594291454,2026-09-16 21:31:31
Y7F6siYVVfieGTnyFWpUE8nw8TujkvuoCkF45PNpump,8,STOP_LOSS,1,2.980860797222998e-7,-18.597859652572357,-0.007633852283576654,0,1789607412289,2026-09-17 01:10:12
