mint,net_pnl_sol,pnl_pct,fees_sol,exit_reason,entry_soft_score,high_volatility,mfe_pct,mae_pct,left_on_table_pct,hold_ms,time_to_mfe_ms,time_to_mae_ms,detect_to_open_ms,exit_confirm_ms,momentum_window_ms,early_flow_net_sol,early_flow_rate,pool_sol_at_entry,size_multiplier,mode,config_hash,opened_at,closed_at,entry_tx,exit_tx
AJQ48erLGxjwqFAZR1vm9HBU518ArDY9iU6sceaVpump,-0.010886104848258553,-25.778783766963876,0.00061114465575,STOP_LOSS,62,false,0,-24.331565854724577,25.778783766963876,3080,,2521,1165,528,0,,,70.508108088,0.5,live,cc68d6fce0cc6f7c,2026-09-16T19:51:24.165Z,2026-09-16T19:51:27.245Z,b3pxgLTsXigjdcZ4f9dssUyKiL1HZ2W7jCu9nNQ1Rwf25BEB7FXcboQiLtaG64MvxUL5uFVEbYo5q6S2jUFrFaq,vGtFG1EAcZBpcqUyn268KvxRFkmJdhF6y2mjLAVGqn7sgYAYELGY4vy9EKB6bxcPY99ynK8yXPbnEPui7y5pVLv
9HB7uiNQeWTGG1tkuGaMQLhdt9Lg6vmJ4vtLJc1Wpump,0.00777878573052913,18.69332624182336,0.0008080631780000001,TRAILING_STOP,92,true,32.78147285971716,0,14.088146617893802,4588,1553,,1727,2012,250,4.656066938,17.308799026022307,67.144939185,0.5,live,cc68d6fce0cc6f7c,2026-09-16T19:53:52.727Z,2026-09-16T19:53:57.315Z,29ZNBVtGfLwufDmFSsz2sdrVpkDqzTzLJpFqWF1EbUjVypxnT4pfdvsfecRPTvnAvxMKzKWfi7aR4hYFmfRRNexS,53vBT6y8YquXhf8gVtT7QEzN4HdGzBAbdnTchZY9QSyHcf2xfW4edpFxDKtVy84QvH48LsTz8gaEyxWmgMj7h7pp
EXPquAt51j4i3uD2fvfLSUCtoyZjB4zfmHq8ySgUpump,-0.00005650227670925929,-0.13437286072208657,0.00061024437675,TRAILING_STOP,75,true,15.45082234028589,-12.631272280623898,15.585195201007977,8057,5454,2312,1715,675,250,3.481654842,11.722743575757576,73.652018419,0.5,live,cc68d6fce0cc6f7c,2026-09-16T20:00:34.715Z,2026-09-16T20:00:42.772Z,5f5vQeUfdC32YBpwAXwLfGHjK3oaVhNa6LP8hrLkZp5ydUhyFdG4ByK8kzGjQYVdJvQN2EX7Efjnw3EperuoCFdN,5LWCFH2N3y4qzWr3tQyucNbokHAweMtKbskufgUayzvfd92cM2xM999Us1UeZH4TgtFCS4DSJU1xm3yAxxS2WbST
G6wf15wfpt5VSMef4oQ1QxBdGyFt5uMUdkQ5gYn5pump,-0.00742998904317119,-17.490104948343546,0.0006124055020000001,STOP_LOSS,93,true,0,-16.048509753695534,17.490104948343546,4072,,3330,1140,718,250,5.402518814,19.574343528985505,71.444591352,0.5,live,cc68d6fce0cc6f7c,2026-09-16T20:11:39.140Z,2026-09-16T20:11:43.212Z,4SkFFsAHAJhZtJuv6Q1FBzxEK1XcQ8Wa1pWvk2MH7LUpa8q3wAHecqexup2ZniwTSTJBcrPwadpX1JzNCu4wNUKZ,39PtdQjH1d6brQHDFr2WrWYvusAzPhkLqTLLVXTs1pYwENuoCqppp8PL75ZKjG8rAuPaA4June7jGATiAK45fwsF
9wALK3JU77FZU4wAiHgwNyrbrcJoSWsn1dFMbDKi6WE7,0.00204690932170941,4.862389404446858,0.000610483895,TRAILING_STOP,99,true,14.360521106932394,0,9.498131702485537,5095,3831,,1555,746,750,9.538673125,12.292104542525774,67.405853984,0.5,live,cc68d6fce0cc6f7c,2026-09-16T20:22:50.555Z,2026-09-16T20:22:55.650Z,3UtRfKQhgsM35W9xnaCdzvGnY2H9TiGQ4zf64xBCyRtPHeWZMSVQ2r5FdF56JPWtG7XdNZ7wX4rt8feHLuTfkKfD,3DNC7mdsGtkDbYNnqbpsEVKfyUh5o9TBY3w1C2CnLSjxDCtMRZrPwA57WzhrveqxXdkEyvKr7oshjD4eQqHjPSug
8PwDJhSez3HhdZzJ9FqUu7BLdpMqdgLiDNn8anYKpump,-0.008051909132587428,-19.127692280151773,0.0006104777987500001,STOP_LOSS,87,true,2.6901249431933656,-17.67747329654507,21.817817223345138,8704,7461,7959,958,725,250,1.525381984,5.608022,65.324314245,0.5,live,cc68d6fce0cc6f7c,2026-09-16T20:37:30.958Z,2026-09-16T20:37:39.662Z,htPyG2Hn9QPR2yJsmmsy9KfjYzDr2hTXA5TxybFdUKagMRv5vjRKQRUyZhnGkuKrTtYQtAk4GUoS4Ys65VMRmXL,XW1a42MeGiNb4Xx27xs642E1oEYKESSUfcRgqXhug6nsjDqRtQiFN4i7tAbUdibMjPtjxB1NCpSnRXVEEzwfQPW
CwZn8XcUKZnSHWPDnk2BYvcG4McETwzzYqgj139Wpump,0.003804833347431183,9.341628655595397,0.0006036493575,TRAILING_STOP,88,true,18.054648548128103,-8.438585425728093,8.713019892532706,48030,43307,18790,1315,706,250,2.21685172,8.090699708029197,67.405854558,0.5,live,cc68d6fce0cc6f7c,2026-09-16T20:56:00.315Z,2026-09-16T20:56:48.345Z,49xbbnfMbQnZsnp6AEVxh6NScVYYAzm9sU3pppNVyqUBRMPYc523cNMMjT5qkWMHu8SniKQ3CgFJSNkwWpHqggvr,58QHEU8HnwmZCJdkpeney6PnaNzeXideVT11s6Ck4mqxdzzrAWNSC48dT9rxBUkf37BsYMi2HLXPSzifenRYuvMx
9wv2atm9TEpNRQJrKACb7ZT3wppzejbW4YRUPnMtpump,0.000825193815192493,2.0130476156402803,0.0006049613255,TRAILING_STOP,70,false,13.957063521813367,-10.812130432152864,11.944015906173087,118069,104288,2720,1385,742,0,,,70.241915219,0.5,live,cc68d6fce0cc6f7c,2026-09-16T21:29:33.385Z,2026-09-16T21:31:31.454Z,2J6vJG6ZmfVPPB29tAHA7yXiP5zL5QU75N8VubL5xv25gWCdeJP5ZihiVs34WvW1Q2fLrvZQ387g57UWB65uGXx7,3xw11meS56aSuUe2u4Mms1xj3v84Ps6Br24B7VZtDG9Z97DKpShWUvnyaL6XGkz88UFvbW2BeXPzjgWnJ7Mo4Edx
Y7F6siYVVfieGTnyFWpUE8nw8TujkvuoCkF45PNpump,-0.008239086983326654,-20.072353732977007,0.00060523469975,STOP_LOSS,85,false,6.123656956516543,-18.597859652572353,26.196010689493548,15187,6698,14204,1101,949,0,,,70.297308741,0.5,live,d91998cfeac27c78,2026-09-17T01:09:57.101Z,2026-09-17T01:10:12.288Z,3vWnGhWAwCPzKiNQNmULnkRU7edyHtuCnxc7vUKTYxafRRnPop35qSEFVTdVRTt8AJZHehq5DJvG53U87NgrtXAS,2te5WdCvjZkbBC9cMJhSiefeqdusdVaF2wnH57X4cnUJbgWVKYH6AcRmJurNLfF1Vy4KAXsMJuMGydStTmMEwGF3
FbYam2BCt2X4mAQh8iDL6soHXLsF8S4cNYM4h14Epump,-0.004324711575431418,-21.27685445931012,0.0005016294862500001,STOP_LOSS,80,false,0,-18.80892165378538,21.27685445931012,3507,,1706,2645,508,0,,,70.271530832,0.5,live,a8fe4144f25efd22,2026-09-18T08:50:03.645Z,2026-09-18T08:50:07.152Z,4ZyYQdynQrNrTL7rdtRQfMqG88SZZeLiv4yY9k7XSXUx8sNok3XS8QkommRSRW178gYpy8jSetXXNC6VKHdFRycV,5VTt8J1ZkUEKR2SNUL6kx38SrPAJmuVmVxJwPzFYDop7yxficYNM1Y8E3MbQNc1mZfiHaTWB7vsoUp3j4hdjB2av
